batch,scroll,window,direction,frac200,blobs_letterlike,p999,mean,verdict
p0125_batch_acw30k,PHerc0125,w068,ink_reverse,0.00000,0,185.0,82.59,negative
p0125_batch_acw30k,PHerc0125,w070,ink,0.00002,0,190.0,83.94,negative
p0125_batch_acw30k,PHerc0125,w070,ink_reverse,0.00000,0,183.0,84.44,negative
p0125_batch_acw30k,PHerc0125,w071,ink,0.00003,0,191.0,86.54,negative
p0125_batch_acw30k,PHerc0125,w071,ink_reverse,0.00006,0,188.0,84.57,negative
p0125_batch_acw30k,PHerc0125,w073,ink,0.00004,0,191.0,86.7,negative
p0125_batch_acw30k,PHerc0125,w073,ink_reverse,0.00011,1,185.0,85.06,negative
p0125_batch_acw30k,PHerc0125,w074,ink,0.00001,0,186.0,86.92,negative
p0125_batch_acw30k,PHerc0125,w074,ink_reverse,0.00006,0,183.0,84.44,negative
p0125_batch_acw30k,PHerc0125,w076,ink,0.00001,0,190.0,85.35,negative
p0125_batch_acw30k,PHerc0125,w076,ink_reverse,0.00000,0,176.0,83.81,negative
p0125_batch_acw30k,PHerc0125,w077,ink,0.00013,1,183.0,85.1,negative
p0125_batch_acw30k,PHerc0125,w077,ink_reverse,0.00000,0,180.0,84.7,negative
p0125_batch_acw30k,PHerc0125,w079,ink,0.00000,0,188.0,82.57,negative
p0125_batch_acw30k,PHerc0125,w079,ink_reverse,0.00011,0,190.0,83.35,negative
p0125_batch_acw30k,PHerc0125,w080,ink,0.00059,3,199.0,84.56,negative
p0125_batch_acw30k,PHerc0125,w080,ink_reverse,0.00031,1,197.0,86.64,negative
p0125_batch_acw30k,PHerc0125,w082,ink,0.00068,2,199.0,85.09,negative
p0125_batch_acw30k,PHerc0125,w082,ink_reverse,0.00021,1,189.0,83.94,negative
p0125_batch_acw30k,PHerc0125,w083,ink,0.00004,0,188.0,83.71,negative
p0125_batch_acw30k,PHerc0125,w083,ink_reverse,0.00000,0,183.0,84.08,negative
p0125_batch_acw30k,PHerc0125,w085,ink,0.00002,0,189.0,82.95,negative
p0125_batch_acw30k,PHerc0125,w085,ink_reverse,0.00000,0,178.0,83.5,negative
p0125_batch_acw30k,PHerc0125,w086,ink,0.00000,0,178.0,82.95,negative
p0125_batch_acw30k,PHerc0125,w086,ink_reverse,0.00005,0,189.0,84.42,negative
p0125_batch_acw30k,PHerc0125,w088,ink,0.00018,1,189.0,85.11,negative
p0125_batch_acw30k,PHerc0125,w088,ink_reverse,0.00000,0,185.0,85.94,negative
p0125_batch_acw30k,PHerc0125,w089,ink,0.00000,0,184.0,83.15,negative
p0125_batch_acw30k,PHerc0125,w089,ink_reverse,0.00007,0,183.0,84.8,negative
p0191_batch,PHerc0191,w021,ink,0.00000,0,180.0,81.89,negative
p0191_batch,PHerc0191,w021,ink_reverse,0.00005,0,182.0,83.79,negative
p0191_batch,PHerc0191,w022,ink,0.00011,0,183.0,86.31,negative
p0191_batch,PHerc0191,w022,ink_reverse,0.00000,0,173.0,82.42,negative
p0191_batch,PHerc0191,w023,ink,0.00000,0,187.0,84.71,negative
p0191_batch,PHerc0191,w023,ink_reverse,0.00000,0,183.0,83.21,negative
p0191_batch,PHerc0191,w024,ink,0.00000,0,174.0,84.62,negative
p0191_batch,PHerc0191,w024,ink_reverse,0.00000,0,182.0,85.2,negative
